time,dam_price,price_rt,reserve_price,reserve_demand
1,1908.09,1965.79,243.82,43.51
2,1954.3,1935.84,264.47,54.11
3,2061.31,2036.75,260.87,58.66
4,2158.32,2224.53,247.57,64.44
5,2105.96,2231.79,278.94,68.32
6,2121.67,2229.01,265.79,56.04
7,2207.56,2235.77,266.84,56.73
8,2142.39,2227.02,279.47,53.18
9,2038.2,2124.55,282.19,56.09
10,2031.93,2044.06,254.45,56.66
11,1914.46,2024.32,247.57,55.82
12,1841.8,1869.4,256.38,46.79
13,1804.54,1868.02,222.35,41.85
14,1629.34,1662.84,246.53,40.76
15,1581.43,1760.03,206.43,32.88
16,1596.58,1676.64,164.37,45.27
17,1548.65,1634.18,197.85,25.44
18,1609.24,1671.19,191.3,34.04
19,1562.66,1729.27,207.36,43.89
20,1571.6,1730.18,203.8,35.44
21,1767.22,1619.34,200.25,36.98
22,1748.67,1730.17,194.96,39.38
23,1839.43,1858.36,222.87,44.01
24,1846.04,1992.3,226.79,55.77
25,1971.12,2116.47,244.35,41.85
26,2079.48,2130.18,274.48,64.3
27,2081.59,2261.1,301.57,52.72
28,2208.5,2263.67,290.87,60.99
29,2192.36,2310.52,272.46,61.76
30,2220.56,2277.77,299.19,67.45
31,2197.18,2297.66,309.16,56.08
32,2292.05,2239.57,277.43,64.96
33,2153.04,2208.83,276.94,70.0
34,2040.45,2260.22,269.11,50.46
35,2063.66,2057.49,245.32,54.66
36,1885.2,2183.43,254.1,46.56
37,1880.18,1965.87,229.81,48.16
38,1700.34,1864.08,226.01,42.54
39,1670.52,1729.88,196.18,36.15
40,1699.62,1768.41,195.07,39.43
41,1697.04,1657.26,207.52,44.53
42,1658.57,1687.32,189.41,34.05
43,1654.33,1845.41,222.59,39.11
44,1674.72,1720.62,195.63,30.53
45,1663.0,1850.34,212.86,34.58
46,1762.33,1810.8,233.71,44.81
47,1846.71,1934.18,210.35,53.45
48,1999.1,2131.74,217.96,51.65
49,2039.72,2076.84,234.2,52.15
50,2005.18,2305.75,287.83,57.27
51,2169.92,2309.85,270.67,54.07
52,2180.18,2286.92,324.95,65.67
53,2193.42,2391.0,282.75,68.48
54,2265.73,2420.53,295.29,62.24
55,2273.95,2384.52,313.53,61.56
56,2236.28,2214.78,315.04,63.65
57,2097.18,2206.27,307.45,57.66
58,2058.48,2158.87,283.78,56.3
59,2014.9,2080.95,268.42,63.4
60,1966.05,2027.97,248.43,47.67
61,1812.09,1906.51,237.68,43.12
62,1750.67,1726.83,205.06,37.93
63,1638.62,1752.6,190.05,41.65
64,1582.41,1705.96,193.65,34.5
65,1648.69,1662.93,185.46,30.53
66,1661.34,1677.08,178.79,39.72
67,1595.69,1668.85,197.0,40.58
68,1674.87,1675.84,205.11,31.82
69,1685.75,1694.07,199.27,27.72
70,1692.74,1665.34,229.66,45.04
71,1810.51,1869.3,201.62,40.03
72,1941.98,1940.56,227.94,51.12
73,1935.84,2028.86,232.19,41.03
74,2083.03,2014.16,226.14,58.79
75,1930.69,2092.07,262.37,51.2
76,2145.12,2269.35,268.84,63.12
77,2132.95,2232.29,297.47,60.85
78,2118.43,2280.94,285.03,56.34
79,2122.25,2223.24,257.58,58.38
80,1982.79,2181.72,294.84,62.17
81,2017.94,2173.94,276.47,56.7
82,1979.07,2007.49,255.6,55.8
83,1957.15,1953.08,230.48,58.95
84,1774.09,1822.26,205.61,37.18
85,1676.32,1726.61,200.54,49.02
86,1613.7,1643.0,209.46,37.65
87,1616.84,1595.69,210.11,29.34
88,1534.27,1491.34,196.12,24.61
89,1455.85,1553.81,159.72,28.64
90,1492.29,1406.27,147.64,33.5
91,1476.25,1454.13,167.35,28.58
92,1544.41,1467.45,142.8,38.09
93,1503.22,1629.88,181.24,25.49
94,1578.82,1621.03,183.65,35.61
95,1642.77,1749.34,190.07,32.86
96,1661.74,1682.77,185.23,44.65
97,1822.36,1872.5,228.96,50.98
98,1888.05,1988.38,224.51,47.9
99,1932.58,2006.66,224.51,39.93
100,1963.58,2115.64,206.13,56.17
101,1929.94,2050.15,253.04,58.7
102,1985.44,2172.33,281.0,58.9
103,1974.8,2208.6,276.91,62.41
104,1917.67,2008.91,239.44,49.23
105,1898.0,1943.48,228.64,55.47
106,1860.24,1980.25,233.71,54.8
107,1858.26,1898.93,199.02,36.2
108,1691.45,1677.9,204.98,42.69
109,1614.54,1589.37,198.44,34.57
110,1522.34,1509.37,192.75,32.96
111,1364.92,1369.44,161.97,31.9
112,1408.96,1335.89,151.99,25.24
113,1380.62,1292.54,136.43,22.71
114,1488.02,1291.76,135.07,25.67
115,1363.12,1344.86,145.39,20.49
116,1415.64,1393.39,158.94,21.93
117,1444.55,1525.64,174.75,33.07
118,1448.23,1443.1,159.06,26.98
119,1634.61,1644.61,205.3,39.62
120,1691.36,1661.67,191.56,42.44
121,1769.81,1760.76,208.06,35.34
122,1756.21,1887.5,209.07,44.17
123,1933.21,1851.26,194.15,56.61
124,1840.13,1996.56,251.63,48.1
125,1969.23,2018.19,254.37,52.17
126,2059.52,2049.55,240.78,57.31
127,1890.36,2025.55,244.32,58.41
128,1881.91,2120.93,246.11,51.75
129,1868.06,1880.35,207.07,47.65
130,1776.5,1815.15,212.34,54.67
131,1652.73,1726.34,220.29,52.66
132,1657.19,1641.18,176.81,45.02
133,1524.35,1547.3,187.31,36.71
134,1530.34,1574.34,150.76,28.68
135,1400.31,1517.84,168.04,25.52
136,1478.06,1345.09,152.89,29.97
137,1333.58,1297.0,124.56,28.02
138,1348.75,1366.11,164.95,32.5
139,1418.28,1319.65,138.58,29.34
140,1348.75,1428.98,142.89,20.16
141,1472.23,1462.28,166.49,35.42
142,1591.42,1435.33,191.57,28.38
143,1521.29,1707.44,171.71,35.17
144,1488.92,1544.47,181.24,42.34
145,1563.71,1502.27,198.38,55.07
146,1653.63,1589.32,213.36,64.38
147,1622.91,1689.26,216.29,55.1
148,1664.75,1743.14,216.71,53.67
149,1775.87,1793.64,215.62,58.9
150,1778.77,1877.12,230.13,61.32
151,1771.64,1759.98,213.63,54.92
152,1753.51,1703.24,184.86,64.15
153,1670.53,1631.12,223.74,54.1
