Time,On,Power(MW),Reserve(MW),Startup,Shutdown,Revenue
1,1,0.0,5.0,1,0,-15375.64
2,1,5.0,5.0,0,0,9201.55
3,1,10.0,5.0,0,0,19871.85
4,1,15.0,5.0,0,0,32805.8
5,1,20.0,5.0,0,0,44230.5
6,1,25.0,5.0,0,0,55254.2
7,1,30.0,5.0,0,0,66607.3
8,1,35.0,5.0,0,0,77543.05
9,1,40.0,5.0,0,0,84592.95
10,1,45.0,5.0,0,0,91454.95
11,1,40.0,5.0,0,0,80410.65
12,1,30.0,5.0,0,0,55563.9
13,1,20.0,5.0,0,0,36672.15
14,1,20.0,5.0,0,0,32689.45
15,1,20.0,5.0,0,0,34432.75
16,1,20.0,5.0,0,0,32554.65
17,1,25.0,5.0,0,0,40043.75
18,1,30.0,5.0,0,0,49292.2
19,1,35.0,5.0,0,0,59761.25
20,1,40.0,5.0,0,0,68426.2
21,1,45.0,5.0,0,0,72071.55
22,1,50.0,5.0,0,0,85683.3
23,1,55.0,5.0,0,0,101524.15
24,1,60.0,5.0,0,0,118871.95
25,1,65.0,5.0,0,0,136992.3
26,1,70.0,5.0,0,0,148685.0
27,1,75.0,5.0,0,0,169290.35
28,1,80.0,5.0,0,0,180747.95
29,1,85.0,5.0,0,0,195956.5
30,1,90.0,5.0,0,0,204695.25
31,1,95.0,5.0,0,0,218023.5
32,1,100.0,-0.0,0,0,222157.0
33,1,95.0,5.0,0,0,209423.55
34,1,85.0,5.0,0,0,191664.25
35,1,75.0,5.0,0,0,153738.35
36,1,65.0,5.0,0,0,141393.45
37,1,55.0,5.0,0,0,107471.9
38,1,45.0,5.0,0,0,83213.65
39,1,35.0,5.0,0,0,59726.7
40,1,30.0,5.0,0,0,52227.65
41,1,35.0,5.0,0,0,57241.7
42,1,40.0,5.0,0,0,66639.85
43,1,45.0,5.0,0,0,82356.4
44,1,50.0,5.0,0,0,85209.15
45,1,55.0,5.0,0,0,101033.0
46,1,60.0,5.0,0,0,108016.55
47,1,65.0,5.0,0,0,124973.45
48,1,70.0,5.0,0,0,148511.6
49,1,75.0,5.0,0,0,155134.0
50,1,80.0,5.0,0,0,184099.15
51,1,85.0,5.0,0,0,195890.6
52,1,90.0,5.0,0,0,205647.55
53,1,95.0,5.0,0,0,226758.75
54,1,100.0,-0.0,0,0,240253.0
55,1,100.0,-0.0,0,0,236652.0
56,1,100.0,-0.0,0,0,219678.0
57,1,90.0,5.0,0,0,198301.55
58,1,80.0,5.0,0,0,172328.5
59,1,70.0,5.0,0,0,145208.6
60,1,60.0,5.0,0,0,121120.35
61,1,50.0,5.0,0,0,94713.9
62,1,40.0,5.0,0,0,68298.5
63,1,30.0,5.0,0,0,51728.25
64,1,20.0,5.0,0,0,33287.45
65,1,20.0,5.0,0,0,32385.9
66,1,25.0,5.0,0,0,41020.95
67,1,30.0,5.0,0,0,49250.5
