Hour,Price($/MWh)
1,54.97
2,48.62
3,56.48
4,65.23
5,47.66
6,47.66
7,65.79
8,57.67
9,45.31
10,55.43
11,45.37
12,45.34
13,52.42
14,30.87
15,32.75
16,44.38
17,39.87
18,53.14
19,40.92
20,35.88
21,64.66
22,47.74
23,50.68
24,35.75
25,44.56
26,51.11
27,38.49
28,53.76
29,43.99
30,47.08
31,43.98
32,68.52
33,49.87
34,39.42
35,58.23
36,37.79
37,52.09
38,30.4
39,36.72
40,51.97
41,57.38
42,51.71
43,48.84
44,46.99
45,35.21
46,42.8
47,45.39
48,60.57
49,53.44
50,32.37
51,53.24
52,46.15
53,43.23
54,56.12
55,60.31
56,59.31
57,41.61
58,46.91
59,53.31
60,59.76
61,45.21
62,48.14
63,38.94
64,38.04
65,58.13
66,63.56
67,49.28
68,60.04
69,53.62
70,43.55
71,53.61
72,65.38
73,49.64
74,65.65
75,23.8
76,58.22
77,50.87
78,47.01
79,50.92
80,30.12
81,47.8
82,53.57
83,64.78
84,44.82
85,41.92
86,44.98
87,59.15
88,53.29
89,44.7
90,55.13
91,50.97
92,59.69
93,42.98
94,46.72
95,46.08
96,35.36
97,52.96
98,52.61
99,50.05
100,47.65
101,35.85
102,45.79
103,46.57
104,41.98
105,48.39
106,54.04
107,68.86
108,51.75
109,52.58
110,49.26
111,30.81
112,49.73
113,50.6
114,74.63
115,48.08
116,53.02
117,49.65
118,38.31
119,61.43
120,57.52
121,57.91
122,40.91
123,64.03
124,35.98
125,55.87
126,71.9
127,40.09
128,44.34
129,51.0
130,44.97
131,34.49
132,50.69
133,39.38
134,54.74
135,40.81
136,65.5
137,42.17
138,46.78
139,58.14
140,37.69
141,52.27
142,63.07
143,33.93
144,51.85
145,52.6
146,57.82
147,37.63
148,36.8
149,55.22
150,52.97
151,52.5
152,53.46
153,43.2
154,52.32
155,52.93
156,42.86
157,68.66
158,54.74
159,38.09
160,56.57
161,40.25
162,57.87
163,61.59
164,41.79
165,59.63
166,54.13
167,58.22
168,68.97
